setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_mistral,DEFL,192.0,0.7099352948138471,0.0014902791957743,0.7564259485924113,1634,817,0.5
truthfulqa_mistral_chat,LEX+DEFL,,0.8350294911227002,0.001951670018821,0.8641370869033048,1634,817,0.5
truthfulqa_mistral_chat,SINK+1D,192.0,0.6881851236499777,0.0009396445942192,0.7564259485924113,1634,817,0.5
truthfulqa_mistral_chat,SINK+ANS,256.0,0.7674478530732342,0.0027684266815629,0.791921664626683,1634,817,0.5
truthfulqa_mistral_chat,SINK+DEFL,256.0,0.7556544002972334,0.0017878176318325,0.802937576499388,1634,817,0.5
truthfulqa_mistral_chat,0D+1D,192.0,0.6882615294034808,0.0008810393627151,0.7539779681762546,1634,817,0.5
truthfulqa_mistral_chat,0D+SINK,128.0,0.6887214620765286,0.000840999740017,0.7552019583843329,1634,817,0.5
truthfulqa_mistral_chat,PH_ENT,1024.0,0.9014995003662982,0.00095490971945,0.9277845777233782,1634,817,0.5
truthfulqa_mistral_chat,PH_SINK,1024.0,0.9065662505299712,0.0010795571209742,0.9339045287637698,1634,817,0.5
truthfulqa_mistral_chat,PH_SINK+PH_0DTOT,2048.0,0.9071774965579956,0.0012122287372018,0.9375764993880048,1634,817,0.5
truthfulqa_mistral_chat,PH_0D,2048.0,0.9003863734084008,0.0016533311184001,0.91921664626683,1634,817,0.5
truthfulqa_mistral_chat,LOOKBACK,1024.0,0.9343809411091418,0.0007592197363965,0.9424724602203184,1634,817,0.5
truthfulqa_mistral_chat,LLMCHECK,32.0,0.6526489575109103,0.0001290151606489,0.7686658506731946,1634,817,0.5
truthfulqa_mistral_chat,LEGACY_MSTPROXY,32.0,0.6518744129116735,0.0009478069072743,0.7833537331701347,1634,817,0.5
truthfulqa_mistral_chat,LEX,,0.8202756899364634,0.0008218953608146,0.8280293757649939,1634,817,0.5
truthfulqa_mistral_chat,HIDDEN,4096.0,0.9581281489282968,0.0004282467568965,0.9571603427172584,1634,817,0.5
truthfulqa_mistral_chat,LOGPROB,6.0,0.6513275874209163,0.0013673854610772,0.6682986536107711,1634,817,0.5
truthfulqa_mistral_chat,PH_0DTOT,1024.0,0.8901689765674041,0.0020723448446137,0.9314565483476132,1634,817,0.5
truthfulqa_mistral_chat,LEX+SINK,,0.8338774122120365,0.0015298209993337,0.8592411260709915,1634,817,0.5
truthfulqa_mistral_chat,LEX+0D,,0.8339987625264237,0.0012563332566075,0.8604651162790697,1634,817,0.5
truthfulqa_mistral_chat,HIDDEN+0D,4160.0,0.9580532413268232,0.0004327599708221,0.9571603427172584,1634,817,0.5
truthfulqa_mistral_chat,LOGPROB+0D,70.0,0.7333304369060764,0.0021016066844077,0.7980416156670747,1634,817,0.5
truthfulqa_mistral_chat,NONTOPO+DEFL,5414.0,0.9605986016248956,0.0005570243054181,0.9657282741738066,1634,817,0.5
truthfulqa_mistral_chat,NONTOPO+0D,5286.0,0.9600083297252838,0.0005178152265858,0.9645042839657284,1634,817,0.5
truthfulqa_mistral_chat,NONTOPO,5222.0,0.9602585211142056,0.00057798171134,0.9645042839657284,1634,817,0.5
truthfulqa_mistral_chat,ANS,192.0,0.7482745034000561,0.0012080048619161,0.7674418604651163,1634,817,0.5
truthfulqa_mistral_chat,1D,128.0,0.5006089987999802,1.4124712790665352e-06,0.4987760097919216,1634,817,0.5
truthfulqa_mistral_chat,SINK,64.0,0.6883708945016322,0.0009699554533202,0.7539779681762546,1634,817,0.5
truthfulqa_mistral_chat,LEN,2.0,0.5252550978368182,0.0001691297969542,0.5709914320685434,1634,817,0.5
truthfulqa_mistral_chat,ROWSTAT,64.0,0.6998602224156503,0.000849855927641,0.8225214198286414,1634,817,0.5
truthfulqa_mistral_chat,DEFL,192.0,0.7328300541282329,0.0013392939157338,0.780905752753978,1634,817,0.5
truthfulqa_mistral_chat,0D,64.0,0.6884278242787522,0.0009553546327405,0.7552019583843329,1634,817,0.5
truthfulqa_qwen7b,ROWSTAT,56.0,0.7362413462993398,0.0007534164038775,0.806609547123623,1634,817,0.5
truthfulqa_qwen7b,NONTOPO+DEFL,4626.0,0.9491901739204692,0.0012348337793733,0.9522643818849448,1634,817,0.5
truthfulqa_qwen7b,ANS,168.0,0.7411882443006551,0.0019109993878046,0.7490820073439413,1634,817,0.5
truthfulqa_qwen7b,LOGPROB,6.0,0.6737669085183426,0.0007181346951644,0.7172582619339045,1634,817,0.5
truthfulqa_qwen7b,LEN,2.0,0.5287712606499883,0.000348015123501,0.5673194614443084,1634,817,0.5
truthfulqa_qwen7b,1D,112.0,0.6102857125735406,0.0005310859139118,0.6340269277845777,1634,817,0.5
truthfulqa_qwen7b,DEFL,168.0,0.6971260949618645,0.0009413437596215,0.7484700122399021,1634,817,0.5
truthfulqa_qwen7b,0D,56.0,0.6793670008045076,0.0010483132603759,0.773561811505508,1634,817,0.5
truthfulqa_qwen7b,SINK,56.0,0.7492677781955958,0.0001264280152724,0.7613219094247246,1634,817,0.5
truthfulqa_qwen7b,LEGACY_MSTPROXY,28.0,0.6781774680931072,0.0010864135574572,0.784577723378213,1634,817,0.5
truthfulqa_qwen7b,LEX,,0.8202756899364634,0.0008218953608146,0.8280293757649939,1634,817,0.5
truthfulqa_qwen7b,LOOKBACK,784.0,0.9217694973250496,0.0003516805300904,0.9228886168910648,1634,817,0.5
truthfulqa_qwen7b,HIDDEN,3584.0,0.933266315999215,0.0007859384175874,0.9339045287637698,1634,817,0.5
